date,close_value,highest_52_weeks_value,highest_date,lowest_52_weeks_value,lowest_date,is_high52,is_low52,business_days
2005-06-09,2.2534048557281494,2.2534048557281494,2005-06-09,2.2534048557281494,2005-06-09,true,true,0
2005-06-10,2.187333106994629,2.2534048557281494,2005-06-09,2.187333106994629,2005-06-10,false,true,1
2005-06-13,2.178640127182007,2.2534048557281494,2005-06-09,2.178640127182007,2005-06-13,false,true,2
2005-06-14,2.1751625537872314,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,true,3
2005-06-15,2.216892957687378,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,false,4
2005-06-16,2.215153932571411,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,false,5
2005-06-17,2.2516672611236572,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,false,6
2005-06-20,2.2516672611236572,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,false,7
2005-06-21,2.242973566055298,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,false,8
2005-06-22,2.2516672611236572,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,false,9
2005-06-23,2.2342793941497803,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,false,10
2005-06-24,2.242973566055298,2.2534048557281494,2005-06-09,2.1751625537872314,2005-06-14,false,false,11
2005-06-27,2.256883382797241,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,true,false,12
2005-06-28,2.2516672611236572,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,13
2005-06-29,2.2534048557281494,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,14
2005-06-30,2.242973566055298,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,15
2005-07-01,2.2342793941497803,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,16
2005-07-05,2.242973566055298,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,17
2005-07-06,2.242973566055298,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,18
2005-07-07,2.2394962310791016,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,19
2005-07-08,2.2516672611236572,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,20
2005-07-11,2.2081985473632812,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,21
2005-07-12,2.2342793941497803,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,22
2005-07-13,2.225586414337158,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,23
2005-07-14,2.225586414337158,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,24
2005-07-15,2.225586414337158,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,25
2005-07-18,2.1995041370391846,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,26
2005-07-19,2.2203705310821533,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,27
2005-07-20,2.216892957687378,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,28
2005-07-21,2.1995041370391846,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,29
2005-07-22,2.2081985473632812,2.256883382797241,2005-06-27,2.1751625537872314,2005-06-14,false,false,30
2005-07-25,2.284703016281128,2.284703016281128,2005-07-25,2.1751625537872314,2005-06-14,true,false,31
2005-07-26,2.277747392654419,2.284703016281128,2005-07-25,2.1751625537872314,2005-06-14,false,false,32
2005-07-27,2.295135736465454,2.295135736465454,2005-07-27,2.1751625537872314,2005-06-14,true,false,33
2005-07-28,2.2586216926574707,2.295135736465454,2005-07-27,2.1751625537872314,2005-06-14,false,false,34
2005-07-29,2.2603611946105957,2.295135736465454,2005-07-27,2.1751625537872314,2005-06-14,false,false,35
2005-08-01,2.277747392654419,2.295135736465454,2005-07-27,2.1751625537872314,2005-06-14,false,false,36
2005-08-02,2.295135736465454,2.295135736465454,2005-08-02,2.1751625537872314,2005-06-14,true,false,37
2005-08-03,2.310784339904785,2.310784339904785,2005-08-03,2.1751625537872314,2005-06-14,true,false,38
2005-08-04,2.347296953201294,2.347296953201294,2005-08-04,2.1751625537872314,2005-06-14,true,false,39
2005-08-05,2.39076566696167,2.39076566696167,2005-08-05,2.1751625537872314,2005-06-14,true,false,40
2005-08-08,2.3838119506835938,2.39076566696167,2005-08-05,2.1751625537872314,2005-06-14,false,false,41
2005-08-09,2.3994600772857666,2.3994600772857666,2005-08-09,2.1751625537872314,2005-06-14,true,false,42
2005-08-10,2.3351259231567383,2.3994600772857666,2005-08-09,2.1751625537872314,2005-06-14,false,false,43
2005-08-11,2.408153533935547,2.408153533935547,2005-08-11,2.1751625537872314,2005-06-14,true,false,44
2005-08-12,2.4342334270477295,2.4342334270477295,2005-08-12,2.1751625537872314,2005-06-14,true,false,45
2005-08-15,2.4342334270477295,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,true,false,46
2005-08-16,2.395982503890991,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,47
2005-08-17,2.347296953201294,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,48
2005-08-18,2.3490357398986816,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,49
2005-08-19,2.347296953201294,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,50
2005-08-22,2.3629465103149414,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,51
2005-08-23,2.395982503890991,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,52
2005-08-24,2.3994600772857666,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,53
2005-08-25,2.3733794689178467,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,54
2005-08-26,2.312523126602173,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,55
2005-08-29,2.3281710147857666,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,56
2005-08-30,2.263838052749634,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,57
2005-08-31,2.310784339904785,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,58
2005-09-01,2.293396472930908,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,59
2005-09-02,2.279486894607544,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,60
2005-09-06,2.256883382797241,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,61
2005-09-07,2.2534048557281494,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,62
2005-09-08,2.241234302520752,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,63
2005-09-09,2.1890718936920166,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,64
2005-09-12,2.2221078872680664,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,65
2005-09-13,2.194289207458496,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,66
2005-09-14,2.176901340484619,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,67
2005-09-15,2.182117462158203,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,68
2005-09-16,2.225586414337158,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,69
2005-09-19,2.190810441970825,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,70
2005-09-20,2.190810441970825,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,71
2005-09-21,2.2221078872680664,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,72
2005-09-22,2.190810441970825,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,73
2005-09-23,2.1925501823425293,2.4342334270477295,2005-08-15,2.1751625537872314,2005-06-14,false,false,74
2005-09-26,2.150820255279541,2.4342334270477295,2005-08-15,2.150820255279541,2005-09-26,false,true,75
2005-09-27,2.114307165145874,2.4342334270477295,2005-08-15,2.114307165145874,2005-09-27,false,true,76
2005-09-28,2.0986568927764893,2.4342334270477295,2005-08-15,2.0986568927764893,2005-09-28,false,true,77
2005-09-29,2.173424482345581,2.4342334270477295,2005-08-15,2.0986568927764893,2005-09-28,false,false,78
2005-09-30,2.216892957687378,2.4342334270477295,2005-08-15,2.0986568927764893,2005-09-28,false,false,79
2005-10-03,2.129956007003784,2.4342334270477295,2005-08-15,2.0986568927764893,2005-09-28,false,false,80
2005-10-04,2.1160457134246826,2.4342334270477295,2005-08-15,2.0986568927764893,2005-09-28,false,false,81
